Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get User By Id,10,1472,1260,2700,2700,5032,232,5032,0.000%,.11082,0.13,0.01
TOTAL,10,1472,1260,2700,2700,5032,232,5032,0.000%,.11082,0.13,0.01
